0108997743999992023010515004+40650-074067FM-13+007299999V0200601N005119999999N999999999+00901+99999101521ADDMD1310191+9999OD159900511999REMSYN068ROBN4 46/// /0610 10090 40152 53019 91500 333 91210 555 11009 22010=
0108997743999992023010516004+40650-074067FM-13+007299999V0200601N005119999999N999999999+00901+99999101541ADDMD1110161+9999OD159900571999REMSYN068ROBN4 46/// /0610 10090 40154 51016 91600 333 91211 555 11009 22010=
0108997743999992023010517004+40650-074067FM-13+007299999V0200601N004119999999N999999999+00901+99999101481ADDMD1990001+9999OD159900461999REMSYN068ROBN4 46/// /0608 10090 40148 50000 91700 333 91209 555 11008 22008=
0108997743999992023010518004+40650-074067FM-13+007299999V0200501N003619999999N999999999+00901+99999101451ADDMD1810071+9999OD159900411999REMSYN068ROBN4 46/// /0507 10090 40145 58007 91800 333 91208 555 11006 22007=
0108997743999992023010519004+40650-074067FM-13+007299999V0200501N003619999999N999999999+00931+99999101391ADDMD1710151+9999OD159900411999REMSYN068ROBN4 46/// /0507 10093 40139 57015 91900 333 91208 555 11007 22007=
0108997743999992023010520004+40650-074067FM-13+007299999V0200601N004619999999N999999999+00911+99999101351ADDMD1810131+9999OD159900511999REMSYN068ROBN4 46/// /0609 10091 40135 58013 92000 333 91210 555 11008 22009=
0108997743999992023010521004+40650-074067FM-13+007299999V0200501N003619999999N999999999+00911+99999101371ADDMD1610081+9999OD159900411999REMSYN068ROBN4 46/// /0507 10091 40137 56008 92100 333 91208 555 11006 22007=
0108997743999992023010522004+40650-074067FM-13+007299999V0201801N003619999999N999999999+00811+99999101361ADDMD1610031+9999OD159900361999REMSYN068ROBN4 46/// /1807 10081 40136 56003 92200 333 91207 555 11006 22007=
0108997743999992023010523004+40650-074067FM-13+007299999V0201701N004119999999N999999999+00741+99999101371ADDMD1410001+9999OD159900511999REMSYN068ROBN4 46/// /1708 10074 40137 54000 92300 333 91210 555 11007 22008=
0108997743999992023010600004+40650-074067FM-13+007299999V0201901N002119999999N999999999+00781+99999101461ADDMD1310091+9999OD159900261999REMSYN068ROBN4 46/// /1904 10078 40146 53009 90000 333 91205 555 11004 22004=
0108997743999992023010601004+40650-074067FM-13+007299999V0201401N004119999999N999999999+00831+99999101411ADDMD1990051+9999OD159900461999REMSYN068ROBN4 46/// /1408 10083 40141 50005 90100 333 91209 555 11007 22008=
0108997743999992023010602004+40650-074067FM-13+007299999V0201401N003619999999N999999999+00841+99999101451ADDMD1110081+9999OD159900411999REMSYN068ROBN4 46/// /1407 10084 40145 51008 90200 333 91208 555 11006 22007=
0108997743999992023010603004+40650-074067FM-13+007299999V0201301N004119999999N999999999+00831+99999101491ADDMD1310031+9999OD159900461999REMSYN068ROBN4 46/// /1308 10083 40149 53003 90300 333 91209 555 11008 22008=
0108997743999992023010604004+40650-074067FM-13+007299999V0201201N003119999999N999999999+00791+99999101471ADDMD1110061+9999OD159900361999REMSYN068ROBN4 46/// /1206 10079 40147 51006 90400 333 91207 555 11006 22006=
